Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1630378,Yes,Yes,1630378,871A,"Morrison Place between Victoria Parade and Albert Street, approximately 19m West of St Vincent's Health Australia Ltd, 14-18 Morrison Place, EAST MELBOURNE VIC 3002",-37.8090933,144.9765624,"-37.8090933, 144.9765624"
MPM1647109,Yes,Yes,1647109,800A,"St Kilda Road between Moubray Street and High Street, approximately 39m NW of Wesley College Melbourne, Wesley College, 567-581 St Kilda Road, MELBOURNE VIC 3004",-37.8484494,144.9800677,"-37.8484494, 144.9800677"
MPM1647119,Yes,Yes,1647119,811D,"Moubray Street between St Kilda Road and Punt Road, approximately 24m SE of Ormond Collective, 17 Moubray Street, MELBOURNE VIC 3004",-37.8480156,144.9814119,"-37.8480156, 144.9814119"
MPM1647129,Yes,Yes,1647129,884B,"Simpson Street between Grey Street and Albert Street, approximately 8m South of East Melbourne Tennis Academy, 155 Simpson Street, EAST MELBOURNE VIC 3002",-37.8116099,144.9885252,"-37.8116099, 144.9885252"
MPM1647136,Yes,Yes,1647136,802E,"St Kilda Road between Armadale Street and Commercial Road, approximately 27m SW of Mariner Travel Pty Ltd, Ground 473 St Kilda Road, MELBOURNE VIC 3004",-37.8418909,144.9777211,"-37.8418909, 144.9777211"
MPM1647140,Yes,Yes,1647140,365E,"Bouverie Street between Lincoln Square South and Pelham Street, approximately 3m SE of Carpark Ground 165 Bouverie Street, CARLTON VIC 3053",-37.8027478,144.961933,"-37.8027478, 144.961933"
MPM1647143,Yes,Yes,1647143,801F,"St Kilda Road between Commercial Road and Moubray Street, approximately 26m West of Spotless, Part Ground, Levels 1-2, 549 St Kilda Road, MELBOURNE VIC 3004",-37.8466506,144.9794151,"-37.8466506, 144.9794151"
MPM1647151,Yes,Yes,1647151,823D,"Kings Domain South, approximately 72m West of The Nursery and Works Yard, Royal Botanic Gardens Victoria, 48 Birdwood Avenue, MELBOURNE VIC 3004",-37.8325244,144.9782961,"-37.8325244, 144.9782961"
MPM1647154,Yes,Yes,1647154,859B,"Lansdowne Street between Albert Street and Victoria Parade, approximately 4m NW of 12 Lansdowne Street,",-37.8094152,144.9785245,"-37.8094152, 144.9785245"
MPM1647158,Yes,Yes,1647158,867C,"Albert Street between Nicholson Street and Gisborne Street, approximately 2m NW of St Peters Vicarage, 473 Albert Street, EAST MELBOURNE VIC 3002",-37.8095731,144.9747887,"-37.8095731, 144.9747887"
MPM1647172,Yes,Yes,1647172,765B,Wells Street between Grant Street and Miles Street,-37.8276594,144.9685954,"-37.8276594, 144.9685954"
MPM1647175,Yes,Yes,1647175,766A,"Wells Street between Miles Street and Coventry Street, approximately 66m SE of 6-12 Miles Street, SOUTHBANK VIC 3006",-37.828749,144.9687159,"-37.828749, 144.9687159"
MPM1647176,Yes,Yes,1647176,757A,"Moore Street between Miles Street and Kings Way, approximately 57m SW of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",-37.8284894,144.9645873,"-37.8284894, 144.9645873"
MPM1647177,Yes,Yes,1647177,752B,"Haig Street between Clarendon Street and West Gate Freeway, approximately 24m West of 65-71 Haig Street, SOUTHBANK VIC 3006",-37.8277892,144.9561701,"-37.8277892, 144.9561701"
MPM1647183,Yes,Yes,1647183,785B,"Miles Street between Wells Street and Dodds Street, approximately 31m SW of 6-12 Miles Street, SOUTHBANK VIC 3006",-37.828702,144.9678544,"-37.828702, 144.9678544"
MPM1647184,Yes,Yes,1647184,757B,"Moore Street between Miles Street and Kings Way, approximately 62m West of Victorian College Of The Arts Secondary School, 55-65 Miles Street, SOUTHBANK VIC 3006",-37.8283498,144.9644792,"-37.8283498, 144.9644792"
MPM1647186,Yes,Yes,1647186,765F,"Wells Street between Grant Street and Miles Street, approximately 60m East of Grant Street Reserve, 25-45 Grant Street, SOUTHBANK VIC 3006",-37.8259178,144.9692902,"-37.8259178, 144.9692902"
MPM1647191,Yes,Yes,1647191,750D,"Whiteman Street between West Gate Freeway and Clarendon Street, approximately 53m East of Railway Revegetation Area, Rear 33 Meaden Street, SOUTHBANK VIC 3006",-37.8274161,144.9551837,"-37.8274161, 144.9551837"
MPM1647193,Yes,Yes,1647193,920A,"Seafarer Lane between Bourke Street and Collins Street, approximately 15m West of Gowrie @ The Harbour, 20 Seafarer Lane, DOCKLANDS VIC 3008",-37.8205362,144.9428961,"-37.8205362, 144.9428961"
MPM1647194,Yes,Yes,1647194,752C,"Haig Street between Clarendon Street and West Gate Freeway, approximately 2m SE of Launch Housing Southbank, Launch Housing, 52-70 Haig Street, SOUTHBANK VIC 3006",-37.8270983,144.9569733,"-37.8270983, 144.9569733"
MPM1647196,Yes,Yes,1647196,901B,"Aurora Lane between Bourke Street and Collins Street, approximately 31m North of Part Ground & Mezzanine, 710 Collins Street, DOCKLANDS VIC 3008",-37.8196872,144.9505883,"-37.8196872, 144.9505883"
MPM1647197,Yes,Yes,1647197,938A,"Brentani Way between Village Street and Georgiana Street, approximately 3m NW of San Xuan Cafe, 15 Brentani Way, DOCKLANDS VIC 3008",-37.8214445,144.9504141,"-37.8214445, 144.9504141"
MPM1647198,Yes,Yes,1647198,908B,"Harbour Esplanade between McCrae Street and Collins Street, approximately 37m South of Automotive Centre Of Excellence, 2-48 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8220578,144.9478304,"-37.8220578, 144.9478304"
MPM1647201,Yes,Yes,1647201,901A,"Aurora Lane between Bourke Street and Collins Street, approximately 40m NW of Travelodge Hotel Melbourne Docklands, Travelodge Docklands, 66 Aurora Lane, DOCKLANDS VIC 3008",-37.8187687,144.9498896,"-37.8187687, 144.9498896"
MPM1647203,Yes,Yes,1647203,947D,"Collins Street between Merchant Street and Bourke Street, approximately 7m SE of An Di Docklands, 854 Collins Street, DOCKLANDS VIC 3008",-37.8211808,144.9440267,"-37.8211808, 144.9440267"
MPM1647205,Yes,Yes,1647205,947B,"Collins Street between Merchant Street and Bourke Street, approximately 5m SE of Teeny Tiny Cafe, 858 Collins Street, DOCKLANDS VIC 3008",-37.8210993,144.9436863,"-37.8210993, 144.9436863"
MPM1647207,Yes,Yes,1647207,944B,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 25m West of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8212446,144.9470394,"-37.8212446, 144.9470394"
MPM1647208,Yes,Yes,1647208,944A,"Collins Street between Harbour Esplanade and Navigation Drive, approximately 48m NW of Docklands Park, 1-91 Harbour Esplanade, DOCKLANDS VIC 3008",-37.8210702,144.946852,"-37.8210702, 144.946852"
MPM1647213,Yes,Yes,1647213,940C,"Approximately 4m North of Sergy Boy, Shop 1-2, 699 Collins Street, DOCKLANDS VIC 3008",-37.8199502,144.9514764,"-37.8199502, 144.9514764"
MPM1647220,Yes,Yes,1647220,753C,"Kavanagh Street between Southbank Boulevard and Power Street, approximately 71m North of State Coroner's Office, 65 Kavanagh Street, SOUTHBANK VIC 3006",-37.8235144,144.9647934,"-37.8235144, 144.9647934"
MPM1647230,Yes,Yes,1647230,774A,"Intersection of St Kilda Road and Anzac Avenue, approximately 10m NE of Department Of Defence, Victoria Barracks Melbourne, 256-310 St Kilda Road, SOUTHBANK VIC 3006",-37.8272642,144.9711265,"-37.8272642, 144.9711265"
MPM1647232,Yes,Yes,1647232,772A,"St Kilda Road between Wadey Street and Anzac Avenue, approximately 61m South of Part Suite 1, Ground 250 St Kilda Road, SOUTHBANK VIC 3006",-37.8263773,144.9710215,"-37.8263773, 144.9710215"
MPM1647236,Yes,Yes,1647236,950A,"Bourke Street between Cumberland Street and Collins Street, approximately 8m SW of Golden Express Supermarket, 862 Bourke Street, DOCKLANDS VIC 3008",-37.8202019,144.9421641,"-37.8202019, 144.9421641"
MPM1647239,Yes,Yes,1647239,913A,"Karlsruhe Lane between Collins Street and Keera Way, approximately 26m SE of 21 Karlsruhe Lane, DOCKLANDS VIC 3008",-37.821019,144.9454443,"-37.821019, 144.9454443"
MPM1647244,Yes,Yes,1647244,912A,"Navigation Drive between Bourke Street and Collins Street, approximately 60m East of 83 Geographe Street, DOCKLANDS VIC 3008",-37.8199679,144.9459555,"-37.8199679, 144.9459555"
MPM1647246,Yes,Yes,1647246,668A,"La Trobe Street between Exhibition Street and Russell Street, approximately 28m SE of 20 La Trobe Street, MELBOURNE VIC 3000",-37.8083865,144.9683559,"-37.8083865, 144.9683559"
MPM1647302,Yes,Yes,1647302,128B,"Batman Street between Adderley Street and Spencer Street, approximately 11m West of Part Ground 115 Batman Street, WEST MELBOURNE VIC 3003",-37.8114723,144.9493211,"-37.8114723, 144.9493211"
MPM1647322,Yes,Yes,1647322,587A,"Spencer Street between Jeffcott Street and Batman Street, approximately 14m NW of Curtin House, 384 Spencer Street, WEST MELBOURNE VIC 3003",-37.8114065,144.950771,"-37.8114065, 144.950771"
MPM1647323,Yes,Yes,1647323,587B,"Spencer Street between Jeffcott Street and Batman Street, approximately 3m NE of Ground 371 Spencer Street, WEST MELBOURNE VIC 3003",-37.8115961,144.9505609,"-37.8115961, 144.9505609"
MPM1647326,Yes,Yes,1647326,642A,"Little Bourke Street between Spring Street and Exhibition Street, approximately 26m SW of Secret Kitchen, 58 Little Bourke Street, MELBOURNE VIC 3000",-37.8109903,144.970619,"-37.8109903, 144.970619"
